Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1,	1000,	3.82,	0.13171,	3.82,	0.13171,	0.000602538
2,	1000,	3.845,	0.122935,	3.845,	0.122935,	0.000886151
4,	1000,	3.831,	0.12558,	3.831,	0.12558,	0.001416
8,	1000,	3.572,	0.121823,	3.572,	0.121823,	0.00265388
16,	1000,	4.068,	0.139819,	4.068,	0.139819,	0.00495322
32,	349,	3.97135,	0.209458,	3.97135,	0.209458,	0.0143363
64,	119,	6.9916,	0.725468,	6.9916,	0.725468,	0.0421047
128,	48,	8.52083,	1.87592,	8.52083,	1.87592,	0.104712
256,	23,	12.1304,	2.70217,	12.1304,	2.70217,	0.226775
512,	9,	34,	2,	34,	2,	0.617682
1024,	5,	32.4,	7.48652,	32.4,	7.48652,	1.01239
2048,	3,	44.3333,	3.41022,	44.3333,	3.41022,	2.19456
4096,	2,	49	,0	49,	0,	4.06837
8192,	1,	-27,	0,	-27,	0,	5.06178
16384,	1,	-12,	0,	-12,	0,	5.08727
32768,	1,	-6	,0,	-6,	0,	5.43815
65536,	1,	-3	,0,	-3,	0,	5.61836
131072,	1,	-2	,0,	-2,	0,	7.62138
262144,	1,	-1	,0,	-1,	0,	8.21036
524288,	1,	-1	,0,	-1,	0,	15.6308
1048576,	1,	-1,	0,	-1,	0,	32.5081
