Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time
1,1000,3.82,0.13171,3.82,0.13171,0.000585982
2,1000,3.845,0.122935,3.845,0.122935,0.000878201
4,1000,3.831,0.12558,3.831,0.12558,0.001413
8,1000,3.572,0.121823,3.572,0.121823,0.00265181
16,1000,4.068,0.139819,4.068,0.139819,0.00494548
32,356,3.6882,0.200019,3.6882,0.200019,0.0140696
64,136,5.49265,0.559113,5.49265,0.559113,0.0370627
128,42,11.7381,1.63232,11.7381,1.63232,0.119952
256,22,20.0455,3.35286,20.0455,3.35286,0.232421
512,10,25.4,5.06596,25.4,5.06596,0.543219
1024,5,35.6,6.55195,35.6,6.55195,1.0906
2048,3,39,1.24722,39,1.24722,2.31454
4096,2,49,0.707107,49,0.707107,4.1257
8192,1,-27,0,-27,0,5.14411
16384,1,-12,0,-12,0,5.13919
32768,1,-6,0,-6,0,5.46941
65536,1,-3,0,-3,0,5.7374
131072,1,-2,0,-2,0,7.63179
262144,1,-1,0,-1,0,7.85873
524288,1,-1,0,-1,0,15.6449
1048576,1,-1,0,-1,0,31.2258
