Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time
1,1000,3.761,0.129352,3.761,0.129352,0.000597683
2,1000,4.013,0.135768,4.013,0.135768,0.000897181
4,1000,3.995,0.13877,3.995,0.13877,0.00147883
8,1000,3.712,0.123471,3.712,0.123471,0.00265166
16,1000,3.807,0.134506,3.807,0.134506,0.00490183
32,22,-8.5,12.0065,-8.5,12.0065,0.242725
64,2,-42.5,36.416,-42.5,36.416,2.95992
128,2,-41.5,29.3449,-41.5,29.3449,3.44275
256,2,-10,38.8909,-10,38.8909,3.60412
512,2,-8.5,33.5876,-8.5,33.5876,5.26454
1024,1,-50,0,-50,0,10.1194
2048,1,-45,0,-45,0,5.45301
4096,1,-48,0,-48,0,5.1066
8192,1,-26,0,-26,0,5.02553
16384,1,-12,0,-12,0,5.20065
32768,1,-6,0,-6,0,5.48296
65536,1,-3,0,-3,0,6.1439
131072,1,-2,0,-2,0,7.71376
262144,1,-1,0,-1,0,7.91911
524288,1,-1,0,-1,0,15.6036
1048576,1,-1,0,-1,0,31.2324
